concept,polarity,closeness_male,closeness_female,closeness_global_north,closeness_global_south
fall_cent,negative,,,,
downgrade_equity,negative,,,,
strong_equity,positive,,,,
fall_pc,negative,,,,
new_penalty,positive,,,,
threaten_penalty,negative,,,,
violate_warning,negative,,,,
violate_norm,negative,,,,
nigeria_devalue,negative,,,,
devalue_currency,negative,,,,
decline_cent,negative,,,,
temporary_mismatch,negative,,,,
likely_loss,negative,,,,
slump_dampen,negative,,,,
trim_pc,negative,,,,
strong_dollar,positive,,,,
flat_grow,positive,,,,
sluggish_earnings,positive,,,,
moody_downgrade,negative,,,,
dip_pc,negative,,,,
slip_drop,negative,,,,
fall_cap,negative,,,,
illicitly,negative,,,,
cut_requirement,negative,,,,
downgrade_india,negative,,,,
cyclical_disappoint,negative,,,,
cancel_allotment,negative,,,,
weaken_cent,negative,,,,
rupiah_depreciate,negative,,,,
poor_earnings,positive,,,,
cut_shareholding,negative,,,,
dip_cent,negative,,,,
slump_cent,negative,,,,
fall_price,negative,,,,
cut_stimulus,negative,,,,
datum_disappoint,negative,,,,
refuse_sale,negative,,,,
stop_loss,negative,,,,
likely_downgrade,negative,,,,
downgrade_education,negative,,,,
cut_hope,negative,,,,
drop_pc,negative,,,,
capitalisation_erode,negative,,,,
solid_datum,positive,,,,
drop_vertical,negative,,,,
suspend_buyback,negative,,,,
fall_ban,negative,,,,
new_probe,positive,,,,
curb_drop,negative,,,,
likely_verdict,negative,,,,
fm_disappoint,negative,,,,
cut_duty,negative,,,,
farming_gain,positive,,,,
overlook_misstep,negative,,,,
fall_hurt,negative,,,,
continue_gain,positive,,,,
cut_loss,negative,,,,
reverse_gain,positive,,,,
reject_austerity,negative,,,,
fall_sink,negative,,,,
quit_zee,negative,,,,
strong_norm,positive,,,,
reject_extension,negative,,,,
strong_bear,positive,,,,
strong_scenario,positive,,,,
strong_bet,positive,,,,
strong_bank,positive,,,,
likely_decline,negative,,,,
strong_year,positive,,,,
strong_performer,positive,,,,
book_growing,positive,,,,
strong_play,positive,,,,
strong_company,positive,,,,
earn_gain,positive,,,,
strong_hope,positive,,,,
solid_update,positive,,,,
cut_petrol,negative,,,,
revoke_ban,negative,,,,
strong_response,positive,,,,
strong_income,positive,,,,
fast_grow,positive,,,,
fast_growth,positive,,,,
good_reach,positive,,,,
weaken_it,negative,,,,
weaken_pc,negative,,,,
crude_rout,positive,,,,
prohibit_security,negative,,,,
ignore_norm,negative,,,,
fall_default,negative,,,,
likely_crisis,negative,,,,
cut_exposure,negative,,,,
reject_term,negative,,,,
cut_brent,negative,,,,
crude_hit,positive,,,,
slip_downgrade,negative,,,,
cut_ministry,negative,,,,
cut_quota,negative,,,,
limit_gain,positive,,,,
strong_resistance,positive,,,,
strong_yen,positive,,,,
maintain_gain,positive,,,,
fall_high,negative,,,,
cut_long,negative,,,,
liquidator,negative,,,,
late_disaster,negative,,,,
asset_restructure,negative,,,,
fall_euro,negative,,,,
fall_knife,negative,,,,
slump_end,negative,,,,
end_loss,negative,,,,
strong_sell,positive,,,,
cut_market,negative,,,,
brokerage_downgrade,negative,,,,
overstatement_allege,negative,,,,
disallow_ad,negative,,,,
disallow,negative,,,,
pat_grow,positive,,,,
drop_price,negative,,,,
good_beating,positive,,,,
hard_make,positive,,,,
drop_trade,negative,,,,
fall_threaten,negative,,,,
cut_disappoint,negative,,,,
fall_revenue,negative,,,,
unjustified_fall,negative,,,,
unwarranted,negative,,,,
downgrade_industry,negative,,,,
slump_wallop,negative,,,,
crash_slump,negative,,,,
cut_gold,negative,,,,
recent_downgrade,negative,,,,
disastrous_earnings,positive,,,,
strong_plan,positive,,,,
bar_failure,negative,,,,
cut_dividend,negative,,,,
decline_accelerate,negative,,,,
solid_proposition,positive,,,,
decline_ebitda,negative,,,,
release_warning,negative,,,,
hard_size,positive,,,,
strong_suv,positive,,,,
significant_jump,positive,,,,
solid_deck,positive,,,,
heavy_growth,positive,,,,
good_advantage,positive,,,,
enable_group,positive,,,,
total_increase,positive,,,,
strong_china,positive,,,,
strong_competition,positive,,,,
significant_distortion,positive,,,,
conflict_aggravate,negative,,,,
strong_quarter,positive,,,,
temporary_shortfall,negative,,,,
strong_series,positive,,,,
slight_decline,negative,,,,
pricing_grow,positive,,,,
enable_platform,positive,,,,
avoid_loss,negative,,,,
decline_br,negative,,,,
record_increase,positive,,,,
strong_lift,positive,,,,
delivery_grow,positive,,,,
strong_offensive,positive,,,,
strong_path,positive,,,,
strong_region,positive,,,,
decline_due,negative,,,,
fall_year,negative,,,,
strong_figure,positive,,,,
strong_basis,positive,,,,
solid_unit,positive,,,,
essential_make,positive,,,,
good_collaboration,positive,,,,
increase_profit,positive,,,,
now_grow,positive,,,,
enable_utilization,positive,,,,
strong_month,positive,,,,
strong_push,positive,,,,
drop_panty,negative,,,,
cut_firm,negative,,,,
cut_outlook,negative,,,,
huge_downgrade,negative,,,,
ahead_grow,positive,,,,
slash_discount,negative,,,,
drop_car,negative,,,,
main_downgrade,negative,,,,
drop_reality,negative,,,,
drop_investigation,negative,,,,
fall_angel,negative,,,,
drop_it,negative,,,,
drop_future,negative,,,,
drop_gap,negative,,,,
strong_week,positive,,,,
drop_stock,negative,,,,
warn_shrinkage,negative,,,,
group_downgrade,negative,,,,
hard_get,positive,,,,
hard_work,positive,,,,
hard_bounce,positive,,,,
fall_domino,negative,,,,
fall_method,negative,,,,
block_close,negative,,,,
international_downgrade,negative,,,,
explosive_disaster,negative,,,,
strong_ramp,positive,,,,
